Price,Timestamp
60759.15,2024-08-23 02:28:53.979
60759.15,2024-08-23 02:28:53.979
60759.15,2024-08-23 02:28:53.979
60759.15,2024-08-23 02:28:53.979
60759.15,2024-08-23 02:28:53.979
60759.15,2024-08-23 02:28:53.979
60759.15,2024-08-23 02:28:53.979
60759.15,2024-08-23 02:28:53.979
60758.12,2024-08-23 02:28:53.982
60758.12,2024-08-23 02:28:54.011
60757.44,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.13,2024-08-23 02:28:54.011
60756.12,2024-08-23 02:28:54.011
60756.0,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.21,2024-08-23 02:28:54.011
60755.2,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60754.54,2024-08-23 02:28:54.011
60753.5,2024-08-23 02:28:54.015
60753.17,2024-08-23 02:28:54.015
60753.17,2024-08-23 02:28:54.015
60753.17,2024-08-23 02:28:54.015
60753.17,2024-08-23 02:28:54.015
60752.2,2024-08-23 02:28:54.025
60752.2,2024-08-23 02:28:54.025
60752.2,2024-08-23 02:28:55.106
60752.2,2024-08-23 02:28:55.106
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.2,2024-08-23 02:28:55.232
60752.19,2024-08-23 02:28:57.663
60752.2,2024-08-23 02:28:58.241
